"Your search criteria: Credit Rating Agency= [Cerved Rating Agency S.p.A.]; Time Horizon= [Long term]; Rating type= [Corporate rating]; Period= [1 Jan 2016 - 31 Dec 2018]"


Number of transitions
"BOP / EOP","A1.1","A1.2","A1.3","A2.1","A2.2","A3.1","B1.1","B1.2","B2.1","B2.2","C1.1","C1.2","C2.1","Withdrawals"
"A1.1","1","0","0","0","0","0","0","0","0","0","0","0","0","9"
"A1.2","0","4","3","2","0","1","0","0","0","0","0","0","0","22"
"A1.3","0","0","9","8","2","1","2","0","0","0","0","0","0","76"
"A2.1","0","0","2","16","10","8","2","2","0","0","0","0","0","144"
"A2.2","0","0","2","7","45","29","15","8","2","1","0","0","0","562"
"A3.1","0","0","0","4","20","214","97","38","11","3","1","0","1","1,730"
"B1.1","0","0","0","0","4","59","197","114","35","9","6","3","0","3,026"
"B1.2","0","0","0","0","2","16","70","139","72","11","2","3","3","4,210"
"B2.1","0","0","0","0","0","3","16","66","67","25","4","1","1","4,117"
"B2.2","0","0","0","0","0","0","2","10","18","18","6","1","1","2,118"
"C1.1","0","0","0","0","0","0","0","4","0","2","7","1","1","1,120"
"C1.2","0","0","0","0","0","0","0","0","2","4","0","2","0","598"
"C2.1","0","0","0","0","0","0","0","0","0","0","2","0","0","177"


Transition rate
"BOP / EOP","A1.1","A1.2","A1.3","A2.1","A2.2","A3.1","B1.1","B1.2","B2.1","B2.2","C1.1","C1.2","C2.1","Withdrawals"
"A1.1","10.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","90.00%"
"A1.2","0.00%","12.50%","9.38%","6.25%","0.00%","3.12%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","68.75%"
"A1.3","0.00%","0.00%","9.18%","8.16%","2.04%","1.02%","2.04%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","77.55%"
"A2.1","0.00%","0.00%","1.09%","8.70%","5.43%","4.35%","1.09%","1.09%","0.00%","0.00%","0.00%","0.00%","0.00%","78.26%"
"A2.2","0.00%","0.00%","0.30%","1.04%","6.71%","4.32%","2.24%","1.19%","0.30%","0.15%","0.00%","0.00%","0.00%","83.76%"
"A3.1","0.00%","0.00%","0.00%","0.19%","0.94%","10.10%","4.58%","1.79%","0.52%","0.14%","0.05%","0.00%","0.05%","81.64%"
"B1.1","0.00%","0.00%","0.00%","0.00%","0.12%","1.71%","5.71%","3.30%","1.01%","0.26%","0.17%","0.09%","0.00%","87.63%"
"B1.2","0.00%","0.00%","0.00%","0.00%","0.04%","0.35%","1.55%","3.07%","1.59%","0.24%","0.04%","0.07%","0.07%","92.98%"
"B2.1","0.00%","0.00%","0.00%","0.00%","0.00%","0.07%","0.37%","1.53%","1.56%","0.58%","0.09%","0.02%","0.02%","95.74%"
"B2.2","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.09%","0.46%","0.83%","0.83%","0.28%","0.05%","0.05%","97.42%"
"C1.1","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.35%","0.00%","0.18%","0.62%","0.09%","0.09%","98.68%"
"C1.2","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.33%","0.66%","0.00%","0.33%","0.00%","98.68%"
"C2.1","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.12%","0.00%","0.00%","98.88%"


"9 Feb 2020 -   - refer to the CEREP website legal notice"