"Your search criteria: Credit Rating Agency= [ICAP Group SA]; Time Horizon= [Long term]; Rating type= [Corporate rating]; Period= [1 Jan 2016 - 31 Dec 2018]"


Number of transitions
"BOP / EOP","AA","A","BB","B","C","D","E","F","G","H","Withdrawals"
"AA","1","0","0","0","0","0","0","0","0","0","0"
"A","0","8","0","0","0","0","0","0","0","0","3"
"BB","0","5","29","2","2","0","0","0","0","0","14"
"B","0","0","10","3","3","0","0","0","0","0","42"
"C","0","0","5","5","5","4","2","1","0","0","98"
"D","0","0","1","5","8","8","5","0","2","2","79"
"E","0","0","1","0","11","12","24","9","3","1","95"
"F","0","0","0","1","3","13","28","22","6","9","184"
"G","0","0","0","0","4","2","8","12","25","19","170"
"H","0","0","0","0","0","0","2","4","4","22","297"


Transition rate
"BOP / EOP","AA","A","BB","B","C","D","E","F","G","H","Withdrawals"
"AA","100.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"A","0.00%","72.73%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","27.27%"
"BB","0.00%","9.62%","55.77%","3.85%","3.85%","0.00%","0.00%","0.00%","0.00%","0.00%","26.92%"
"B","0.00%","0.00%","17.24%","5.17%","5.17%","0.00%","0.00%","0.00%","0.00%","0.00%","72.41%"
"C","0.00%","0.00%","4.17%","4.17%","4.17%","3.33%","1.67%","0.83%","0.00%","0.00%","81.67%"
"D","0.00%","0.00%","0.91%","4.55%","7.27%","7.27%","4.55%","0.00%","1.82%","1.82%","71.82%"
"E","0.00%","0.00%","0.64%","0.00%","7.05%","7.69%","15.38%","5.77%","1.92%","0.64%","60.90%"
"F","0.00%","0.00%","0.00%","0.38%","1.13%","4.89%","10.53%","8.27%","2.26%","3.38%","69.17%"
"G","0.00%","0.00%","0.00%","0.00%","1.67%","0.83%","3.33%","5.00%","10.42%","7.92%","70.83%"
"H","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.61%","1.22%","1.22%","6.69%","90.27%"


"9 Feb 2020 -   - refer to the CEREP website legal notice"