"Your search criteria: Credit Rating Agency= [Japan Credit Rating Agency Ltd]; Time Horizon= [Long term]; Rating type= [Corporate rating]; Period= [1 Jan 2016 - 31 Dec 2018]"


Number of transitions
"BOP / EOP","AAA","AA","A","BBB","BB","B","CCC","CC","C","LD","D","Withdrawals"
"AAA","9","0","0","0","0","0","0","0","0","0","0","3"
"AA","0","101","7","0","0","0","0","0","0","0","0","3"
"A","0","21","273","4","0","0","0","0","0","0","0","23"
"BBB","0","0","22","108","3","0","0","0","0","0","0","15"
"BB","0","0","0","1","2","0","0","0","0","0","0","2"
"B","0","0","0","0","2","0","0","0","0","0","0","0"
"CCC","0","0","0","0","0","0","0","0","0","0","0","0"
"CC","0","0","0","0","0","0","0","0","0","0","0","0"
"C","0","0","0","0","0","0","0","0","0","0","0","0"
"LD","0","0","0","0","0","0","0","0","0","0","0","0"
"D","0","0","0","0","0","0","0","0","0","0","0","0"


Transition rate
"BOP / EOP","AAA","AA","A","BBB","BB","B","CCC","CC","C","LD","D","Withdrawals"
"AAA","75.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","25.00%"
"AA","0.00%","90.99%","6.31%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.70%"
"A","0.00%","6.54%","85.05%","1.25%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","7.17%"
"BBB","0.00%","0.00%","14.86%","72.97%","2.03%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","10.14%"
"BB","0.00%","0.00%","0.00%","20.00%","40.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","40.00%"
"B","0.00%","0.00%","0.00%","0.00%","100.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"CCC","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"CC","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"C","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"LD","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"D","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"


"9 Feb 2020 -   - refer to the CEREP website legal notice"